NAME          TEAM                   ROLE     CARD ID  MEAN    STD     5% CI   95% CI  MIN     MAX    
------------  ---------------------  -------  -------  ------  ------  ------  ------  ------  ------ 
Stormstormer  Entity                 Mid      0        72.07   6.89    60.79   83.44   46.74   100.79 
Nisha         Team Secret            Mid      0        67.37   8.05    54.29   80.70   39.80   95.61  
DarkMago♥     Thunder Awaken         Mid      0        61.90   6.35    51.86   72.72   39.26   86.70  
TORONTOTOKYO  Team Spirit            Mid      0        60.71   6.58    49.80   71.53   36.67   86.50  
Ori           Team Aster             Mid      0        59.30   7.22    47.67   71.45   34.87   87.70  
C. smile  <   beastcoast             Mid      0        58.51   6.86    47.55   70.19   34.12   94.04  
Bryle         TSM FTX                Mid      0        58.16   6.82    47.12   69.62   36.71   85.53  
Armel         Fnatic                 Mid      0        57.66   7.68    45.18   70.48   33.33   85.04  
Mikoto        Talon                  Mid      0        57.60   7.64    45.48   70.80   33.72   87.58  
Nine          Tundra Esports         Mid      0        50.65   6.11    41.10   61.19   30.47   75.74  
Yopaj-        BOOM Esports           Mid      0        34.85   4.93    26.99   43.24   18.66   53.76  
Quinn         Soniqs                 Mid      0        34.27   6.04    24.45   44.38   17.46   56.96  
bzm           OG                     Mid      0        32.96   5.13    24.71   41.68   14.45   51.99  
Somnus        Royal Never Give Up    Mid      0        32.74   4.76    25.08   40.66   17.01   51.20  
m1CKe         Team Liquid            Mid      0        31.95   4.34    24.88   39.09   16.08   47.10  
BOOM          Gaimin Gladiators      Mid      0        30.38   3.69    24.42   36.58   17.76   44.29  
Abed          Evil Geniuses          Mid      0        30.36   4.27    23.93   37.92   17.77   50.30  
NothingToSay  PSG.LGD                Mid      0        29.60   3.76    23.40   35.78   11.94   43.50  
4nalog <01    Hokori                 Mid      0        28.35   4.63    21.35   36.48   15.68   49.84  
Larl          BetBoom Team           Mid      0        27.24   5.33    19.84   36.89   12.66   52.37  

NAME          TEAM                   ROLE     CARD ID  MEAN    STD     5% CI   95% CI  MIN     MAX    
------------  ---------------------  -------  -------  ------  ------  ------  ------  ------  ------ 
Pure          Entity                 Core     0        67.46   9.53    51.22   82.44   32.55   104.73 
Monet         Team Aster             Core     0        61.17   7.75    48.83   74.25   36.93   91.64  
YATOROGOD     Team Spirit            Core     0        61.06   8.17    47.75   74.52   33.45   91.66  
Raven         Fnatic                 Core     0        60.60   8.91    46.37   75.72   33.23   93.65  
Pakazs        Thunder Awaken         Core     0        60.56   8.11    47.64   74.42   33.90   90.03  
Crystallis    Team Secret            Core     0        57.02   8.34    43.76   71.28   32.55   86.43  
Timado        TSM FTX                Core     0        55.28   7.06    44.21   67.13   36.02   80.64  
23savage      Talon                  Core     0        53.73   9.44    39.46   70.19   26.16   91.79  
33            Tundra Esports         Core     0        53.22   7.46    41.62   66.03   30.38   83.61  
K1            beastcoast             Core     0        52.69   7.84    40.31   66.12   28.66   81.93  
CoLLapse      Team Spirit            Core     0        52.31   6.21    42.31   62.96   30.44   76.64  
Resolut1on    Team Secret            Core     0        52.21   7.57    40.24   65.17   29.32   86.96  
Tobi          Entity                 Core     0        49.71   6.66    38.67   60.53   26.19   72.94  
Wisper        beastcoast             Core     0        49.60   5.98    40.17   59.81   30.44   71.56  
J             Fnatic                 Core     0        48.54   6.05    38.97   58.80   28.81   74.16  
SabeRLighT-   TSM FTX                Core     0        48.07   6.62    37.55   59.31   26.37   74.83  
skiter        Tundra Esports         Core     0        47.82   6.84    37.18   59.62   28.91   75.07  
Xxs           Team Aster             Core     0        45.74   5.93    36.36   55.89   25.22   69.26  
Sacred        Thunder Awaken         Core     0        41.47   5.11    33.33   50.06   25.30   59.84  
kpii          Talon                  Core     0        39.39   6.22    29.76   50.26   21.04   63.49  
MATUMBAMAN    Team Liquid            Core     0        32.37   4.55    24.91   39.88   17.05   51.21  
Ame           PSG.LGD                Core     0        31.08   5.63    21.67   40.25   12.36   51.44  
dyrachyo      Gaimin Gladiators      Core     0        30.71   5.92    21.88   41.36   14.95   52.77  
JACKBOYS      BOOM Esports           Core     0        30.69   5.52    21.81   40.02   13.69   49.35  
Arteezy       Evil Geniuses          Core     0        30.27   5.06    22.52   39.06   15.70   49.90  
Yawar         Soniqs                 Core     0        29.96   6.18    19.69   40.15   13.91   50.36  
Yuragi        OG                     Core     0        29.92   6.23    19.85   40.41   13.07   52.34  
Lumière       Hokori                 Core     0        28.89   6.63    19.55   40.98   13.66   54.01  
Daxak         BetBoom Team           Core     0        27.94   4.83    20.48   36.36   13.44   48.50  
