NAME          TEAM                   ROLE     CARD ID  MEAN    STD     5% CI   95% CI  MIN     MAX    
Ghost         Royal Never Give Up    Core     0        26.67   5.72    18.53   37.05   12.54   49.72  
Faith_bian    PSG.LGD                Core     0        26.22   4.33    19.15   33.37   10.64   41.08  
Nightfall     Evil Geniuses          Core     0        25.87   4.56    18.86   33.87   13.62   43.28  
LESLÃO        Soniqs                 Core     0        25.70   4.30    18.91   33.20   12.28   45.36  
zai           Team Liquid            Core     0        25.54   3.80    19.42   32.02   12.53   40.44  
Ace           Gaimin Gladiators      Core     0        25.04   4.21    18.37   32.10   11.85   43.95  
AMMAR_THE_F   OG                     Core     0        24.34   4.76    16.68   32.32   7.82    42.12  
Noticed       BetBoom Team           Core     0        23.70   3.87    17.71   30.38   12.30   39.21  
Chalice       Royal Never Give Up    Core     0        23.53   4.39    17.00   31.20   11.85   41.27  
Vitaly        Hokori                 Core     0        21.78   4.26    15.56   29.32   10.04   39.22  
Fbz           BOOM Esports           Core     0        21.71   3.62    15.93   27.91   9.10    35.55  

NAME          TEAM                   ROLE     CARD ID  MEAN    STD     5% CI   95% CI  MIN     MAX    
------------  ---------------------  -------  -------  ------  ------  ------  ------  ------  ------ 
W_Zayac       Team Secret            Support  0        64.61   6.67    53.83   75.81   39.09   89.54  
Fishman       Entity                 Support  0        60.65   6.96    49.42   72.22   35.46   86.31  
Jaunuel       Fnatic                 Support  0        59.81   6.99    48.58   71.47   34.71   87.12  
DJ            Fnatic                 Support  0        57.98   5.76    48.66   67.59   38.20   82.91  
Hyde-         Talon                  Support  0        56.94   8.17    43.82   70.62   31.55   86.68  
Matthew       Thunder Awaken         Support  0        56.03   5.63    46.97   65.46   34.56   80.15  
Miposhka      Team Spirit            Support  0        55.86   6.61    45.12   66.89   33.10   83.28  
Siamese.C     Team Aster             Support  0        55.10   5.52    45.99   64.23   34.22   75.00  
DuBu          TSM FTX                Support  0        54.70   5.58    45.63   63.88   33.71   77.49  
Kataomi`      Entity                 Support  0        53.84   5.98    44.06   63.63   31.82   77.18  
Saksa         Tundra Esports         Support  0        53.70   4.97    45.64   62.00   35.49   73.25  
Gōjira        beastcoast             Support  0        52.11   5.90    42.51   61.81   29.58   77.43  
Mira          Team Spirit            Support  0        51.48   5.73    42.22   61.02   29.72   74.28  
BoBoKa        Team Aster             Support  0        51.13   5.97    41.43   61.04   30.44   73.32  
PandaMoo      Thunder Awaken         Support  0        50.04   5.61    40.99   59.38   30.33   69.14  
Puppey        Team Secret            Support  0        48.77   5.30    40.29   57.59   30.16   69.97  
Sneyking      Tundra Esports         Support  0        48.18   4.60    40.63   55.73   28.24   67.21  
XstiNgerX     beastcoast             Support  0        47.44   6.97    36.57   59.49   25.18   76.85  
MoonMeander   TSM FTX                Support  0        46.15   5.59    37.14   55.61   27.61   69.32  
Q             Talon                  Support  0        44.45   6.08    34.91   54.83   25.37   68.28  
Fata          Soniqs                 Support  0        34.63   5.02    26.82   43.17   15.22   52.74  
iNsania       Team Liquid            Support  0        30.83   4.17    24.10   37.82   12.85   47.00  
skem          BOOM Esports           Support  0        30.80   4.40    23.68   38.12   15.55   50.68  
Taiga         OG                     Support  0        28.18   5.18    19.91   37.01   11.59   51.88  
TIMS          BOOM Esports           Support  0        28.13   4.32    21.23   35.28   13.53   44.10  
y`            PSG.LGD                Support  0        27.79   4.33    20.45   34.68   10.63   42.48  
Boxi          Team Liquid            Support  0        26.85   3.87    20.56   33.37   12.88   42.68  
SoNNeikO      BetBoom Team           Support  0        26.72   4.41    19.82   34.28   11.77   43.09  
Gard1ck       Hokori                 Support  0        26.68   4.30    19.94   34.06   12.82   50.83  
Seleri        Gaimin Gladiators      Support  0        26.39   3.55    20.67   32.35   13.12   41.08  
XinQ          PSG.LGD                Support  0        25.78   3.26    20.52   31.16   12.03   38.66  
xNova         Royal Never Give Up    Support  0        25.39   3.55    19.55   31.21   12.16   39.71  
kaka          Royal Never Give Up    Support  0        25.30   3.92    18.80   31.62   10.89   40.37  
tOfu          Gaimin Gladiators      Support  0        24.34   3.91    18.00   30.80   10.53   38.29  
Cr1t-         Evil Geniuses          Support  0        24.19   3.16    18.95   29.36   12.79   38.16  
RodjER        BetBoom Team           Support  0        24.15   4.36    17.39   31.66   10.61   41.60  
Thiolicor     Hokori                 Support  0        23.65   3.62    18.10   29.98   12.17   40.89  
MSS           Soniqs                 Support  0        23.31   3.51    17.71   29.22   11.43   37.16  
Fly           Evil Geniuses          Support  0        22.86   3.91    16.54   29.43   10.13   37.38  
Misha         OG                     Support  0        21.68   4.17    14.95   28.74   9.05    41.66  
