NAME          TEAM                   ROLE     CARD ID  MEAN    STD     5% CI   95% CI  MIN     MAX    
Saksa         Tundra Esports         Support  0        80.63   6.05    70.83   90.70   58.95   106.27 
DuBu          TSM FTX                Support  0        80.17   6.60    69.51   91.35   57.95   104.52 
Gōjira        beastcoast             Support  0        79.42   7.21    67.29   91.16   52.67   105.85 
Kataomi`      Entity                 Support  0        79.28   7.41    67.23   91.42   54.57   107.83 
Mira          Team Spirit            Support  0        78.38   7.04    66.84   90.17   51.86   107.76 
BoBoKa        Team Aster             Support  0        78.04   7.20    66.04   89.78   48.39   103.92 
XstiNgerX     beastcoast             Support  0        74.32   8.67    60.45   88.98   41.76   107.74 
Puppey        Team Secret            Support  0        74.17   6.51    63.65   84.97   50.62   99.05  
PandaMoo      Thunder Awaken         Support  0        73.47   6.74    62.51   84.68   47.82   100.07 
Sneyking      Tundra Esports         Support  0        72.43   5.57    63.16   81.64   49.56   96.08  
Q             Talon                  Support  0        68.83   7.54    56.79   81.65   43.13   97.92  
MoonMeander   TSM FTX                Support  0        65.30   6.29    55.34   75.82   42.34   93.70  
Fata          Soniqs                 Support  0        64.29   6.50    54.19   75.53   42.95   95.94  
skem          BOOM Esports           Support  0        61.68   6.37    51.20   72.36   39.26   86.68  
iNsania       Team Liquid            Support  0        60.10   6.00    50.27   70.13   37.53   81.58  
SoNNeikO      BetBoom Team           Support  0        58.11   6.48    47.44   68.79   34.44   81.48  
TIMS          BOOM Esports           Support  0        56.41   6.11    46.49   66.62   35.99   81.19  
Taiga         OG                     Support  0        56.02   7.19    44.38   68.14   31.43   84.01  
y`            PSG.LGD                Support  0        55.09   6.21    44.68   64.98   31.54   77.70  
Gard1ck       Hokori                 Support  0        54.06   6.18    44.20   64.55   30.86   76.09  
kaka          Royal Never Give Up    Support  0        53.21   5.27    44.57   61.88   28.86   73.82  
Boxi          Team Liquid            Support  0        52.57   5.42    43.75   61.66   31.92   72.67  
RodjER        BetBoom Team           Support  0        52.46   6.36    42.40   63.14   29.01   77.52  
Seleri        Gaimin Gladiators      Support  0        51.94   4.90    43.98   60.08   33.21   74.60  
xNova         Royal Never Give Up    Support  0        51.73   4.59    44.22   59.35   33.73   69.21  
XinQ          PSG.LGD                Support  0        51.28   4.70    43.59   58.99   32.89   69.38  
Cr1t-         Evil Geniuses          Support  0        48.70   4.52    41.29   56.12   31.17   67.10  
Thiolicor     Hokori                 Support  0        47.68   5.16    39.51   56.54   30.88   69.99  
tOfu          Gaimin Gladiators      Support  0        47.21   5.42    38.38   56.10   25.00   71.05  
Fly           Evil Geniuses          Support  0        46.10   5.59    36.99   55.44   26.41   67.23  
MSS           Soniqs                 Support  0        44.19   4.88    36.32   52.47   27.85   64.72  
Misha         OG                     Support  0        43.11   5.80    34.03   53.10   25.05   66.29  
