NAME          TEAM                   ROLE     CARD ID  MEAN    STD     5% CI   95% CI  MIN     MAX    
XinQ          PSG.LGD                Support  0        77.49   5.66    68.34   86.76   56.23   99.85  
RodjER        BetBoom Team           Support  0        77.03   7.77    64.50   90.13   50.26   106.36 
xNova         Royal Never Give Up    Support  0        76.90   5.79    67.42   86.46   55.63   97.39  
Cr1t-         Evil Geniuses          Support  0        72.78   5.48    63.86   81.89   52.44   91.98  
Thiolicor     Hokori                 Support  0        70.80   6.28    60.73   81.37   48.77   96.29  
tOfu          Gaimin Gladiators      Support  0        70.40   6.51    59.94   81.21   46.57   96.68  
Fly           Evil Geniuses          Support  0        68.69   6.68    57.67   79.57   41.80   96.19  
MSS           Soniqs                 Support  0        67.81   6.08    57.95   78.08   44.68   90.96  
Misha         OG                     Support  0        66.42   7.09    54.98   78.18   38.91   94.55  
W_Zayac       Team Secret            Support  0        62.81   6.60    52.27   73.75   38.03   93.86  
Fishman       Entity                 Support  0        59.70   7.06    48.24   71.64   30.29   87.17  
Hyde-         Talon                  Support  0        59.34   8.33    45.72   73.13   29.23   88.32  
Jaunuel       Fnatic                 Support  0        58.24   6.81    47.29   69.61   36.08   88.01  
Miposhka      Team Spirit            Support  0        56.61   6.56    46.08   67.79   35.23   78.47  
DJ            Fnatic                 Support  0        56.59   5.78    47.43   66.51   36.14   79.80  
Siamese.C     Team Aster             Support  0        56.32   5.53    47.28   65.37   35.40   77.71  
Matthew       Thunder Awaken         Support  0        55.85   5.57    46.87   65.08   35.99   77.36  
BoBoKa        Team Aster             Support  0        53.76   5.80    44.04   63.26   29.90   74.32  
DuBu          TSM FTX                Support  0        53.71   5.47    44.73   62.75   33.41   73.99  
Saksa         Tundra Esports         Support  0        53.61   5.00    45.45   61.76   35.38   73.91  
Gōjira        beastcoast             Support  0        53.13   5.89    43.41   62.74   30.98   72.97  
Kataomi`      Entity                 Support  0        52.88   6.12    42.92   62.99   29.84   78.61  
Mira          Team Spirit            Support  0        52.14   5.70    42.84   61.52   31.91   72.44  
XstiNgerX     beastcoast             Support  0        50.09   7.25    38.52   62.60   27.35   78.81  
PandaMoo      Thunder Awaken         Support  0        49.95   5.61    40.92   59.12   27.26   73.51  
Sneyking      Tundra Esports         Support  0        48.03   4.67    40.24   55.61   29.01   66.87  
Puppey        Team Secret            Support  0        48.01   5.25    39.39   56.68   28.21   70.49  
Q             Talon                  Support  0        46.62   6.30    36.62   57.46   23.87   71.94  
MoonMeander   TSM FTX                Support  0        43.86   5.36    35.52   53.11   26.56   65.05  
